delever: the census describes another tree (stamp edd0ed12e734c92d); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte2: 244 files of 468 with work (400 done) — 960 definitions, 240 direct statements
05:59:04   src/ov_SC03_115/ov_SC03_115_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_117/ov_SC03_117_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_121/ov_SC03_121_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_125/ov_SC03_125_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC04_002/ov_SC04_002_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_124/ov_SC03_124_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_118/ov_SC03_118_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC03_126/ov_SC03_126_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC04_000/ov_SC04_000_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:04   src/ov_SC04_003/ov_SC04_003_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:05   src/ov_SC04_005/ov_SC04_005_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:05   src/ov_SC04_004/ov_SC04_004_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:05   src/ov_SC04_007/ov_SC04_007_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:05   src/ov_SC04_008/ov_SC04_008_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:05   src/ov_SC04_006/ov_SC04_006_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:05   src/ov_SC04_009/ov_SC04_009_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
