delever: the census describes another tree (stamp 95f31b0d3534a95a); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte1: 400 files of 644 with work (0 done) — 8141 definitions, 897 direct statements
05:49:53   src/ov_SC03_111/ov_SC03_111_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:54   src/ov_SC03_104/ov_SC03_104_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:54   src/ov_SC03_105/ov_SC03_105_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:54   src/ov_SC03_113/ov_SC03_113_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:54   src/ov_SC03_109/ov_SC03_109_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:54   src/ov_SC03_108/ov_SC03_108_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:55   src/ov_SC03_110/ov_SC03_110_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:56   src/ov_SC03_112/ov_SC03_112_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:57   src/ov_SC03_125/ov_SC03_125_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:58   src/ov_SC03_114/ov_SC03_114_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:58   src/ov_SC03_116/ov_SC03_116_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:58   src/ov_SC03_121/ov_SC03_121_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:58   src/ov_SC03_118/ov_SC03_118_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:58   src/ov_SC03_115/ov_SC03_115_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:59   src/ov_SC03_117/ov_SC03_117_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:59   src/ov_SC03_124/ov_SC03_124_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:00   src/ov_SC04_000/ov_SC04_000_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:00   src/ov_SC04_002/ov_SC04_002_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:00   src/ov_SC04_003/ov_SC04_003_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:00   src/ov_SC04_006/ov_SC04_006_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:01   src/ov_SC04_004/ov_SC04_004_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:02   src/ov_SC04_008/ov_SC04_008_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:03   src/ov_SC04_005/ov_SC04_005_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:03   src/ov_SC04_007/ov_SC04_007_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:03   src/ov_SC04_009/ov_SC04_009_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:03   src/ov_SC04_010/ov_SC04_010_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:04   src/ov_SC04_020/ov_SC04_020_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:50:05   src/ov_SC04_011/ov_SC04_011_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
