delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/ov_SC05_005/ov_SC05_005_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_002/ov_SC05_002_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.44 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_018/ov_SC04_018_jr_8015C32C.c:func_8015D01C IDENTICAL on 2 object(s) (0.84 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_008/ov_SC05_008_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_003/ov_SC05_003_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.42 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_004/ov_SC05_004_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.37 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_011/ov_SC05_011_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_017/ov_SC05_017_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_018/ov_SC05_018_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_006/ov_SC06_006_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
